Squad;# Pl;90s;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive/Gls;PassDead/Gls;TO;Sh;Fld;Def;Sh;Gls
Alverca;26;11;183;16,64;128;15;11;11;17;1;19;1,73;12;1;2;1;3;0;100;11
Arouca;24;11;188;17,09;151;16;7;3;7;4;23;2,09;20;2;1;0;0;;104;13
AVS Futebol;29;11;207;18,82;139;27;11;11;15;4;15;1,36;12;0;1;1;0;1;114;8
Benfica;25;11;319;29;227;27;22;23;17;3;39;3,55;21;3;3;6;6;0;165;23
Braga;25;11;261;23,73;191;29;6;16;16;3;31;2,82;17;2;1;4;7;0;139;19
Casa Pia;26;11;166;15,09;104;27;6;11;17;1;17;1,55;13;1;0;1;1;1;101;12
Estoril;24;11;263;23,91;180;31;17;20;13;2;30;2,73;20;3;3;2;2;0;148;17
Estrela;28;11;230;20,91;157;21;13;15;19;5;24;2,18;14;0;2;3;4;1;128;13
Famalicão;22;11;255;23,18;192;23;14;11;11;4;19;1,73;13;2;2;1;1;0;147;11
Gil Vicente FC;24;11;251;22,82;154;29;18;26;17;7;25;2,27;16;3;2;1;3;0;146;16
Moreirense;24;11;174;15,82;118;18;8;14;11;5;28;2,55;19;2;2;4;0;1;102;16
Nacional;23;11;203;18,45;126;25;13;15;17;7;17;1,55;8;3;2;1;2;1;120;11
Porto;24;11;270;24,55;191;19;23;23;10;4;39;3,55;20;4;5;8;2;0;162;24
Rio Ave;26;11;182;16,55;130;8;17;15;11;1;23;2,09;18;1;2;1;1;0;104;14
Santa Clara;22;11;226;20,55;150;20;18;19;17;2;17;1,55;7;3;0;2;4;1;131;9
Sporting CP;23;11;401;36,45;296;25;32;26;14;8;51;4,64;36;3;5;1;5;1;223;26
Tondela;25;11;230;20,91;162;21;12;14;15;6;9;0,82;4;1;0;3;1;0;131;6
Vitória;28;11;252;22,91;168;30;10;15;24;5;16;1,45;9;1;0;3;3;0;138;10
