Player;Pos;TklW;Blocks;Int;AerialsWon;PassesCmp;PassesCmp%;Att;Succ%;PrgC;Sh;G/Sh;SoT%;SCA90;Min
Diogo Costa;GK;0;0;0;4;430;79,9;0;;0;0;0;0;0,46;1170
Victor Froholdt;MF;10;16;11;13;270;82,3;34;47,1;28;12;0,17;16,7;2,45;1137
Jan Bednarek;DF;4;14;15;42;917;94,1;1;0;9;5;0;40;0,51;1055
Alan Varela;MF;2;8;10;8;448;85,2;8;75;7;7;0;42,9;2,07;999
Samu Omorodion;FW;1;2;2;12;86;71,1;24;50;14;33;0,15;57,6;2,11;769
Alberto Costa;DF;10;17;8;5;326;78,7;20;40;14;8;0;12,5;1,92;842
Borja Sainz;FW;6;19;4;2;190;75,4;36;41,7;27;30;0,1;36,7;3,1;842
Pepê;FW;5;11;5;11;198;65,6;31;38,7;20;10;0,2;30;4,24;764
Moura;DF;7;14;12;9;384;82,8;8;75;14;7;0,14;28,6;2,14;758
Jakub Kiwior;DF;17;11;9;11;706;89,4;3;66,7;13;5;0;40;1,33;810
Gabriel Veiga;MF;11;4;3;2;181;69,6;10;50;8;15;0,07;40;3,94;571
William Gomes;FW;7;11;2;1;78;54,2;28;35,7;24;20;0,2;45;2,99;541
Rodrigo Mora;MF,FW;6;7;1;2;126;74,1;21;38,1;10;12;0,08;16,7;4,13;458
Nehuén Pérez;DF;4;4;6;10;304;94,4;1;0;1;2;0,5;50;0,74;364
Pablo Rosario;MF,DF;8;7;1;7;209;83,3;2;50;4;1;1;100;1,58;456
Zaidu Sanusi;DF;3;3;2;3;166;87,4;6;33,3;14;3;0,33;33,3;2,31;351
Luuk de Jong;FW;2;5;2;9;44;71;1;100;1;6;0,17;50;3,47;259
Martim Fernandes;DF;2;1;1;2;96;87,3;2;50;3;1;0;0;1,95;185
Deniz Gül;FW;1;3;1;9;27;60;3;0;3;5;0,4;60;4,21;171
Stephen Eustáquio;MF;3;3;0;4;83;84,7;5;20;3;2;0;50;1,64;165
Dominik Prpić;DF;1;1;4;2;48;72,7;0;0;0;0;0;0;0;94
Zé Pedro Figueiredo;DF;0;0;0;0;17;73,9;0;0;1;0;0;0;0;30
Ángel Alarcón;FW;0;2;0;0;12;75;0;0;2;1;0;0;0;28
Yann Karamoh;FW;0;0;0;0;3;42,9;1;0;1;0;0;0;0;8
;;;;;;;;;;;;;;0;
