Squad;# Pl;90s;CmpTotal; AttTotal;CmpTotal%;TotDist;PrgDist;CmpShort;AttShort;CmpShort%;CmpMedium;AttMedium;CmpMedium%;CmpLong;AttLong;Cmp%Long;DribleSucc%;PrgCarries
Alverca;26;11;3483;4413;78,9;63660;23190;1455;1646;88,4;1509;1733;87,1;399;781;51,1;42,2;122
Arouca;24;11;4003;4993;80,2;73509;25160;1609;1759;91,5;1924;2171;88,6;388;822;47,2;43,6;107
AVS Futebol;29;11;3162;4260;74,2;60397;24015;1233;1455;84,7;1441;1739;82,9;403;814;49,5;46,6;144
Benfica;25;11;5100;6053;84,3;90831;28054;2267;2501;90,6;2188;2436;89,8;528;813;64,9;50,9;254
Braga;25;11;6001;7085;84,7;102097;31548;2726;2965;91,9;2691;2963;90,8;443;826;53,6;39;197
Casa Pia;26;11;3052;4081;74,8;58812;22026;1141;1373;83,1;1512;1796;84,2;356;731;48,7;47,9;110
Estoril;24;11;3868;5031;76,9;69478;27791;1765;2003;88,1;1601;1918;83,5;414;840;49,3;40,2;124
Estrela;28;11;3413;4411;77,4;66261;24150;1290;1470;87,8;1616;1855;87,1;443;867;51,1;42,3;139
Famalicão;22;11;3494;4583;76,2;65781;26338;1382;1581;87,4;1605;1924;83,4;426;820;52;37,9;173
Gil Vicente FC;24;11;3225;4244;76;61696;23478;1266;1472;86;1445;1714;84,3;436;847;51,5;42,3;145
Moreirense;24;11;3881;4843;80,1;69341;24690;1632;1822;89,6;1813;2056;88,2;340;711;47,8;36,4;113
Nacional;23;11;2564;3671;69,8;50832;19626;960;1159;82,8;1157;1421;81,4;384;852;45,1;45,9;105
Porto;24;11;4356;5296;82,3;77280;26268;1828;2068;88,4;2068;2325;88,9;366;660;55,5;45;191
Rio Ave;26;11;3577;4445;80,5;65039;22526;1451;1602;90,6;1702;1924;88,5;347;723;48;40,7;145
Santa Clara;22;11;3759;4798;78,3;70694;24237;1472;1669;88,2;1792;2040;87,8;415;838;49,5;43,2;128
Sporting CP;23;11;5516;6505;84,8;96666;31863;2455;2713;90,5;2482;2773;89,5;475;750;63,3;48;269
Tondela;25;11;3177;4233;75,1;59668;24528;1291;1495;86,4;1417;1705;83,1;394;806;48,9;47,2;140
Vitória;28;11;3555;4580;77,6;67462;24586;1352;1557;86,8;1708;1986;86;413;791;52,2;38,7;141
